Bus_Number,Real,Imaginary,Magnitude,Angle
1,1,0,1,0
2,0.998507077409426,2.01048014212392e-05,0.998507077611829,0.0011536425682816
3,0.991449740038212,0.000120643630922207,0.991449747378415,0.00697198311090674
4,0.987690228170815,0.000176851647007552,0.98769024400397,0.0102591405444461
5,0.983904223320161,0.000231417503259661,0.983904250535239,0.0134761551820435
6,0.974860767250814,-0.00185520744016375,0.974862532524198,-0.109036522644057
7,0.972702228405959,-0.0040326182612483,0.972710587562385,-0.237534855254305
8,0.969834871215341,-0.00353026412732533,0.969841296393429,-0.208559567933448
9,0.96597717183392,-0.00400797849342532,0.965985486638315,-0.237727081942756
10,0.96243873404736,-0.00442210393183614,0.962448893083612,-0.263254272672257
11,0.961930815158997,-0.0043287778476422,0.961940555060502,-0.257834579184632
12,0.961046866297483,-0.0041673839432876,0.961055901760737,-0.248449917856683
13,0.957366643461104,-0.00478142212924842,0.957378583429543,-0.286152679518502
14,0.956044201152569,-0.00537589576664145,0.956059315530553,-0.322174321910568
15,0.95511456399359,-0.00558965867406397,0.955130920155325,-0.335310764544119
16,0.954262577023724,-0.00569828246824798,0.954279590230791,-0.34213188619164
17,0.953007050983099,-0.00626173092881147,0.953027622106373,-0.376456387754121
18,0.952684382200702,-0.00631693168917899,0.952705324701766,-0.379903594454454
19,0.998230521429356,-5.67885574860088e-05,0.998230523044684,-0.00325951230224381
20,0.996404376030369,-0.000509207790026096,0.996404506144489,-0.0292807372444723
21,0.996038841830974,-0.000652607201267964,0.996039055625906,-0.037540336171169
22,0.995708218379956,-0.000806217786797815,0.995708544774276,-0.04639197066419
23,0.989678972344183,-8.60922798272159e-05,0.989678976088771,-0.00498416598529169
24,0.986353127848417,-0.000709760603810053,0.986353383213375,-0.0412289259250709
25,0.984697231811339,-0.00100755065801628,0.984697747278444,-0.0586255128364911
26,0.974051530616597,-0.00184635802875504,0.974053280541935,-0.108606570073906
27,0.972998669220001,-0.00183559125648451,0.973000400667519,-0.108090083230835
28,0.968814349692527,-0.00286785505776712,0.96881859435231,-0.169604745403039
29,0.965910017194756,-0.0035700066362299,0.965916614550426,-0.211764427388141
30,0.964532198350888,-0.00356029242335111,0.964538769224823,-0.211489884516547
31,0.962368575980626,-0.00423130532870994,0.962377877956348,-0.251914267586613
32,0.961918675516436,-0.00441872505133461,0.961928824517892,-0.263195342740341
33,0.961781531630456,-0.0044975809790021,0.961792047596615,-0.267930420034322
34,0.998495461217213,9.55624892503279e-06,0.998495461262943,0.000548357756876153
35,0.99063187726076,0.00158196350004945,0.990633140397439,0.0914969091227689
36,0.983970087989475,0.0029179653791001,0.983974414596218,0.169910257373268
37,0.978498947123811,0.00399891079292755,0.978507118425787,0.234153992905049
38,0.974205065143375,0.00482600490865975,0.974217018571522,0.283828796679238
39,0.971745536951722,0.00529891574153007,0.971759984303545,0.312430041868591
40,0.970520975686639,0.00553502137762323,0.970536759071699,0.326762567857302
41,0.9897155806695,0.00186120544319743,0.989717330708959,0.107747208467657
42,0.983057111281333,0.00319621301539467,0.983062307190363,0.186285078278009
43,0.977584980017493,0.00427688632871856,0.977594335556662,0.250664625275928
44,0.972344672357704,0.00538643248548742,0.972359591672408,0.317394335522231
45,0.970801922759454,0.00558135408188118,0.970817966843857,0.329402427063578
46,0.969598921147511,0.00581387241284439,0.969616351451877,0.343550670789921
47,0.989719542249495,0.00186053967466476,0.989721291030172,0.107708235365948
48,0.983074701031277,0.00322472838444526,0.983079989970749,0.187943666569048
49,0.977625150580141,0.00430194956788158,0.977634615701044,0.252123181215617
50,0.973273278655305,0.00510666970332191,0.973286675661342,0.300622592671356
